Laser Intensity (mA),k_equipartition,err_k_eq,k_potential,err_k_potential,err_k_cov,PSD_I_k,err_PSD_I_k,PSD_II_drag,err_PSD_II_drag,PSD_II_k_b,err_PSD_II_k_b,PSD_II_f0,err_PSD_II_f0,PSD_II_k,err_PSD_II_k,PSD_III_f0,err_PSD_III_f0,PSD_III_k,err_PSD_III_k,PSD_III_drag,err_PSD_III_drag
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,8.558534263192855e-06,[4.46874349e-08],8.388052385084747e-08,2.624280068113739e-09,2.7612980000000003e-24,1.5347594063534285e-16,55.0,2.274107004462684e-32,2.898702812599944e-05,9.068860881243069e-07,53.40988166963091,1.3969953299788702,-1.1591583021276705e-05,2.2516503555609257e-07,-3.454150577430072e-08,1.1253686110464658e-09
150.0,1.0550676266115776e-05,[2.69403306e-07],1.0545544521287804e-05,[2.69272271e-07],2.3927780194163914e-07,1.5250127670575776e-05,[1.63414402e-07],8.229669333153307e-08,2.946699206328205e-09,2.8144402086146697e-24,1.7902901605398633e-16,80.0,1.929156936652843e-32,4.1366829949612226e-05,1.48117257263033e-06,344.99612882113024,21.45579658008084,6.8827337386529e-06,3.8105065373992105e-07,3.175169240985635e-09,2.643767174847758e-10
200.0,1.3746492285191251e-05,[4.20296149e-07],1.5285615229700898e-05,[4.67354514e-07],4.906362470353917e-07,2.031152824415367e-05,[2.91719424e-07],1.0223191718202868e-07,4.291195018917004e-09,2.2656243679348087e-24,1.6894978033511036e-16,88.5,1.335202876444485e-32,5.684727407671868e-05,2.386170054139487e-06,442.8265958711324,36.610646828170566,8.885008560295782e-06,6.604271663393133e-07,3.193333564356183e-09,3.550229259705627e-10
250.0,1.3370303795945996e-05,[3.33479303e-07],1.3364013549659456e-05,[3.33322413e-07],2.3889223237416403e-07,2.3083339173958002e-05,[4.42785204e-07],9.144077036837009e-08,5.285534724209371e-09,2.5329961877532022e-24,2.6011270643416964e-16,110.0,1.8761670366350217e-32,6.31993235341298e-05,3.6530993531713813e-06,551.180702847867,58.16972883578718,8.633515507717116e-06,8.24181732579896e-07,2.4929513355858064e-09,3.547633970553574e-10
300.0,1.6055402799878424e-05,[4.68412338e-07],1.707574910284702e-05,[4.98180685e-07],3.1554447179267826e-07,2.7421884499019353e-05,[5.91079906e-07],8.068303267797361e-08,3.933615288234469e-09,2.870729012786963e-24,2.4864506581038e-16,120.0,1.8726762178637943e-32,6.08335734553121e-05,2.965876053975817e-06,617.5651171458435,74.14123607127064,1.0628895590005594e-05,1.1590049535625526e-06,2.73921117917925e-09,4.4425354410829745e-10
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,8.558534263192855e-06,[4.46874349e-08],8.388052385084747e-08,2.624280068113739e-09,2.7612980000000003e-24,1.5347594063534285e-16,55.0,2.274107004462684e-32,2.898702812599944e-05,9.068860881243069e-07,53.40988166963091,1.3969953299788702,-1.1591583021276705e-05,2.2516503555609257e-07,-3.454150577430072e-08,1.1253686110464658e-09
150.0,1.0550676266115776e-05,[2.69403306e-07],1.0545544521287804e-05,[2.69272271e-07],2.3927780194163914e-07,1.5250127670575776e-05,[1.63414402e-07],8.229669333153307e-08,2.946699206328205e-09,2.8144402086146697e-24,1.7902901605398633e-16,80.0,1.929156936652843e-32,4.1366829949612226e-05,1.48117257263033e-06,344.99612882113024,21.45579658008084,6.8827337386529e-06,3.8105065373992105e-07,3.175169240985635e-09,2.643767174847758e-10
200.0,1.3746492285191251e-05,[4.20296149e-07],1.5285615229700898e-05,[4.67354514e-07],4.906362470353917e-07,2.031152824415367e-05,[2.91719424e-07],1.0223191718202868e-07,4.291195018917004e-09,2.2656243679348087e-24,1.6894978033511036e-16,88.5,1.335202876444485e-32,5.684727407671868e-05,2.386170054139487e-06,442.8265958711324,36.610646828170566,8.885008560295782e-06,6.604271663393133e-07,3.193333564356183e-09,3.550229259705627e-10
250.0,1.3370303795945996e-05,[3.33479303e-07],1.3364013549659456e-05,[3.33322413e-07],2.3889223237416403e-07,2.3083339173958002e-05,[4.42785204e-07],9.144077036837009e-08,5.285534724209371e-09,2.5329961877532022e-24,2.6011270643416964e-16,110.0,1.8761670366350217e-32,6.31993235341298e-05,3.6530993531713813e-06,551.180702847867,58.16972883578718,8.633515507717116e-06,8.24181732579896e-07,2.4929513355858064e-09,3.547633970553574e-10
300.0,1.6055402799878424e-05,[4.68412338e-07],1.707574910284702e-05,[4.98180685e-07],3.1554447179267826e-07,2.7421884499019353e-05,[5.91079906e-07],8.068303267797361e-08,3.933615288234469e-09,2.870729012786963e-24,2.4864506581038e-16,120.0,1.8726762178637943e-32,6.08335734553121e-05,2.965876053975817e-06,617.5651171458435,74.14123607127064,1.0628895590005594e-05,1.1590049535625526e-06,2.73921117917925e-09,4.4425354410829745e-10
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,8.558534263192855e-06,[4.46874349e-08],8.388052385084747e-08,2.624280068113739e-09,2.7612980000000003e-24,8.63897716758134e-26,55.0,2.274107004462684e-32,2.898702812599944e-05,9.068860881243069e-07,53.40988166963091,1.3969953299788702,-1.1591583021276705e-05,2.2516503555609257e-07,-3.454150577430072e-08,1.1253686110464658e-09
150.0,1.0550676266115776e-05,[2.69403306e-07],1.0545544521287804e-05,[2.69272271e-07],2.3927780194163914e-07,1.5250127670575776e-05,[1.63414402e-07],8.229669333153307e-08,2.946699206328205e-09,2.8144402086146697e-24,1.0077329225821207e-25,80.0,1.929156936652843e-32,4.1366829949612226e-05,1.48117257263033e-06,344.99612882113024,21.45579658008084,6.8827337386529e-06,3.8105065373992105e-07,3.175169240985635e-09,2.643767174847758e-10
200.0,1.3746492285191251e-05,[4.20296149e-07],1.5285615229700898e-05,[4.67354514e-07],4.906362470353917e-07,2.031152824415367e-05,[2.91719424e-07],1.0223191718202868e-07,4.291195018917004e-09,2.2656243679348087e-24,9.509981100235011e-26,88.5,1.335202876444485e-32,5.684727407671868e-05,2.386170054139487e-06,442.8265958711324,36.610646828170566,8.885008560295782e-06,6.604271663393133e-07,3.193333564356183e-09,3.550229259705627e-10
250.0,1.3370303795945996e-05,[3.33479303e-07],1.3364013549659456e-05,[3.33322413e-07],2.3889223237416403e-07,2.3083339173958002e-05,[4.42785204e-07],9.144077036837009e-08,5.285534724209371e-09,2.5329961877532022e-24,1.4641433195198213e-25,110.0,1.8761670366350217e-32,6.31993235341298e-05,3.6530993531713813e-06,551.180702847867,58.16972883578718,8.633515507717116e-06,8.24181732579896e-07,2.4929513355858064e-09,3.547633970553574e-10
300.0,1.6055402799878424e-05,[4.68412338e-07],1.707574910284702e-05,[4.98180685e-07],3.1554447179267826e-07,2.7421884499019353e-05,[5.91079906e-07],8.068303267797361e-08,3.933615288234469e-09,2.870729012786963e-24,1.3995933417807484e-25,120.0,1.8726762178637943e-32,6.08335734553121e-05,2.965876053975817e-06,617.5651171458435,74.14123607127064,1.0628895590005594e-05,1.1590049535625526e-06,2.73921117917925e-09,4.4425354410829745e-10
