Laser Intensity (mA),k_equipartition,err_k_eq,k_potential,err_k_potential,err_k_cov,PSD_I_k,err_PSD_I_k,PSD_II_drag,err_PSD_II_drag,PSD_II_k_b,err_PSD_II_k_b,PSD_II_f0,err_PSD_II_f0,PSD_II_k,err_PSD_II_k,PSD_III_f0,err_PSD_III_f0,PSD_III_k,err_PSD_III_k,PSD_III_drag,err_PSD_III_drag
100.0,0.0001062692670735085,[6.08529249e-06],0.00010208128111398437,[5.84547602e-06],2.3958507149369446e-06,2.836016387872302e-05,[1.98159611e-07],1.2385267902266737e-06,3.08750949324224e-08,1.870117986756724e-25,8.282279479540952e-18,17.780142356240905,0.3422696620037828,0.00013836317122449312,43982.8262159146,17.779770353596607,0.34225441757340314,0.00013836389139770892,1.1258713072163226e-06,1.238559150282891e-06,2.5884417560329817e-08
150.0,0.00012630097183026238,[7.21218394e-06],0.00013285161467378024,[7.58624631e-06],2.315594713942379e-06,4.102553756262837e-05,[2.33124915e-07],4.386771192080659e-07,1.736660476178929e-08,5.279945376828276e-25,3.713447983934085e-17,60.43913147442159,1.3958035514920308,0.00016658775132939586,506406.7057024089,60.44085960792454,1.395998494803464,0.00016658451566706753,2.9306985101690572e-06,4.3865605623363665e-07,1.2735970026530367e-08
200.0,0.00032095721038298265,[1.93173856e-05],0.00029808208716007784,[1.79406052e-05],6.156883148474046e-06,7.907105197380783e-05,[4.4335051e-07],1.3273660214763399e-06,1.481987752993744e-08,1.7449529293410952e-25,3.4611116752640917e-18,75.0,2.453146747728205e-35,0.0006255065012542171,6.983702756272787e-06,110.254885948025,2.774148252824449,0.0003674927697716452,7.662039800651817e-06,5.304825301552714e-07,1.7334598772651282e-08
250.0,0.0003483230384665056,[1.97159019e-05],0.0003492685151042814,[1.97694181e-05],5.9434926480676825e-06,9.080532023547664e-05,[5.26752096e-07],1.266102974331278e-06,1.2636464437221054e-08,1.8293861355995355e-25,3.2436942534361965e-18,80.0,2.2719428474822112e-35,0.0006364127684555727,6.351779814931574e-06,185.45694052250164,5.688446137872251,0.00032377678137309834,8.577077537086575e-06,2.778578955779778e-07,1.1261186943562152e-08
300.0,0.00041637940878113154,[2.30514739e-05],0.0004328790737963886,[2.39649235e-05],7.3558882111696385e-06,9.548260790519541e-05,[5.31802016e-07],1.0287086666441634e-06,8.823633277500385e-09,2.2515521668917356e-25,3.430955162955785e-18,95.0,2.5230125023278565e-35,0.0006140388820645565,5.266849681687472e-06,106.36184338876949,2.6956109761571874,0.0005401940735884894,1.1302696549617347e-05,8.083214271334548e-07,2.6565330350595453e-08
100.0,0.0001062692670735085,[6.08529249e-06],0.00010208128111398437,[5.84547602e-06],2.3958507149369446e-06,2.836016387872302e-05,[1.98159611e-07],1.2385267902266737e-06,3.08750949324224e-08,1.870117986756724e-25,8.282279479540952e-18,17.780142356240905,0.3422696620037828,0.00013836317122449312,4.357926139535212e-06,17.779770353596607,0.34225441757340314,0.00013836389139770892,1.1258713072163226e-06,1.238559150282891e-06,2.5884417560329817e-08
150.0,0.00012630097183026238,[7.21218394e-06],0.00013285161467378024,[7.58624631e-06],2.315594713942379e-06,4.102553756262837e-05,[2.33124915e-07],4.386771192080659e-07,1.736660476178929e-08,5.279945376828276e-25,3.713447983934085e-17,60.43913147442159,1.3958035514920308,0.00016658775132939586,7.635110478836636e-06,60.44085960792454,1.395998494803464,0.00016658451566706753,2.9306985101690572e-06,4.3865605623363665e-07,1.2735970026530367e-08
200.0,0.00032095721038298265,[1.93173856e-05],0.00029808208716007784,[1.79406052e-05],6.156883148474046e-06,7.907105197380783e-05,[4.4335051e-07],1.3273660214763399e-06,1.481987752993744e-08,1.7449529293410952e-25,3.4611116752640917e-18,75.0,2.453146747728205e-35,0.0006255065012542171,6.983702756272787e-06,110.254885948025,2.774148252824449,0.0003674927697716452,7.662039800651817e-06,5.304825301552714e-07,1.7334598772651282e-08
250.0,0.0003483230384665056,[1.97159019e-05],0.0003492685151042814,[1.97694181e-05],5.9434926480676825e-06,9.080532023547664e-05,[5.26752096e-07],1.266102974331278e-06,1.2636464437221054e-08,1.8293861355995355e-25,3.2436942534361965e-18,80.0,2.2719428474822112e-35,0.0006364127684555727,6.351779814931574e-06,185.45694052250164,5.688446137872251,0.00032377678137309834,8.577077537086575e-06,2.778578955779778e-07,1.1261186943562152e-08
300.0,0.00041637940878113154,[2.30514739e-05],0.0004328790737963886,[2.39649235e-05],7.3558882111696385e-06,9.548260790519541e-05,[5.31802016e-07],1.0287086666441634e-06,8.823633277500385e-09,2.2515521668917356e-25,3.430955162955785e-18,95.0,2.5230125023278565e-35,0.0006140388820645565,5.266849681687472e-06,106.36184338876949,2.6956109761571874,0.0005401940735884894,1.1302696549617347e-05,8.083214271334548e-07,2.6565330350595453e-08
