Laser Intensity (mA),k_equipartition,err_k_eq,k_potential,err_k_potential,err_k_cov,PSD_I_k,err_PSD_I_k,PSD_II_drag,err_PSD_II_drag,PSD_II_k_b,err_PSD_II_k_b,PSD_II_f0,err_PSD_II_f0,PSD_II_k,err_PSD_II_k,PSD_III_f0,err_PSD_III_f0,PSD_III_k,err_PSD_III_k,PSD_III_drag,err_PSD_III_drag
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014920422427e-06,[2.44673887e-07],1.8993981139544492e-07,0,0,3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014920422427e-06,[2.44673887e-07],1.8993981139544492e-07,0,0,3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,0,0,3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,0,0,3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,0,0,3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],-1.4046825816144304e-05,[-3.96228448e-07],inf,8.558534262791493e-06,[4.68690027e-08],3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],-1.4046825816144304e-05,[-3.96228448e-07],2.9312618668170515e-06,8.558534262791493e-06,[4.68690027e-08],3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],-1.4046825816036092e-05,[-3.96228448e-07],2.931261845913565e-06,8.558534262791493e-06,[4.68690027e-08],3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],-1.4046825816036092e-05,[-3.96228448e-07],2.931261845913565e-06,8.558534262791493e-06,[4.68690027e-08],3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],-1.4046825816036092e-05,[-3.96228448e-07],2.931261845913565e-06,8.558534262791493e-06,[4.68690027e-08],3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,8.558534262791493e-06,[4.68690027e-08],3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,-53.40986851088588,1.4652056749837339,-1.1591585008543474e-05,6751142.521459042,-53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,8.558534262791493e-06,[4.68690027e-08],3.454152020620663e-08,1.6029572797444104e-09,6.705527763849801e-24,5.528297974701839e-16,53.40986851088588,1.4652056749837339,1.1591585008543474e-05,6751142.521459042,53.40988407908436,1.4652078500308499,-1.1591582647444765e-05,2.3615938534698023e-07,-3.45415031020734e-08,1.1803179989247538e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,8.558534262835619e-06,[4.27846373e-08],3.454152305415599e-08,1.4632443400664322e-09,6.705527210978885e-24,5.046453508140437e-16,53.40986594779718,1.3374989178165024,1.1591585408000832e-05,6162715.055060228,53.40988132050174,1.3375009143421503,-1.1591583074498006e-05,2.1557584078895092e-07,-3.4541506158684284e-08,1.077442091583369e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,8.558534263192855e-06,[4.46874349e-08],3.4541522890592205e-08,1.5283320325838219e-09,6.705527242731432e-24,5.270928722764817e-16,53.40986609426922,1.3969932537746803,1.1591585384900374e-05,6436843.636237807,53.40988166963091,1.3969953299788702,-1.1591583021276705e-05,2.2516503555609257e-07,-3.454150577430072e-08,1.1253686110464658e-09
100.0,8.138407078973267e-06,[2.29565629e-07],8.674014916834654e-06,[2.44673887e-07],1.8993981289693258e-07,8.558534263192855e-06,[4.46874349e-08],3.4541522890592205e-08,1.5283320325838219e-09,6.705527242731432e-24,5.270928722764817e-16,53.40986609426922,1.3969932537746803,1.1591585384900374e-05,6436843.636237807,53.40988166963091,1.3969953299788702,-1.1591583021276705e-05,2.2516503555609257e-07,-3.454150577430072e-08,1.1253686110464658e-09
150.0,1.0550676266115776e-05,[2.69403306e-07],1.0545544521287804e-05,[2.69272271e-07],2.3927780194163914e-07,1.5250127670575776e-05,[1.63414402e-07],3.1735416933747377e-09,3.6798520236589703e-10,7.298442721954414e-23,1.5034684820700243e-14,345.0920484292188,21.44441893449964,6.881118377265086e-06,1075449956.2064023,344.99612882113024,21.45579658008084,6.8827337386529e-06,3.8105065373992105e-07,3.175169240985635e-09,2.643767174847758e-10
