Root Name,Title,Author,Date/Time,Groups,Description,,,,,,,,
FEB-22-2021-DRAG,,,,23,,,,,,,,,
,,,,,,,,,,,,,
Group,Channels,Description,,,,,,,,,,,
TRP_Drag_50_10_2,5,,,,,,,,,,,,
TRP_Drag_50_10_2 #1,5,,,,,,,,,,,,
TRP_Drag_100_10_2,5,,,,,,,,,,,,
TRP_Drag_150_10_2,5,,,,,,,,,,,,
TRP_Drag_200_10_2,5,,,,,,,,,,,,
TRP_Drag_200_10_2 #1,5,,,,,,,,,,,,
TRP_Drag_250_10_2,5,,,,,,,,,,,,
TRP_Drag_50_10_1,5,,,,,,,,,,,,
TRP_Drag_100_10_1,5,,,,,,,,,,,,
TRP_Drag_150_10_1,5,,,,,,,,,,,,
TRP_Drag_200_10_1,5,,,,,,,,,,,,
TRP_Drag_250_10_1,5,,,,,,,,,,,,
TRP_Drag_Y_50_10_1,5,,,,,,,,,,,,
TRP_Drag_Y_100_10_1,5,,,,,,,,,,,,
TRP_Drag_Y_150_10_1,5,,,,,,,,,,,,
TRP_Drag_Y_200_10_1,5,,,,,,,,,,,,
TRP_Drag_Y_250_10_1,5,,,,,,,,,,,,
TRP_Drag_Y_250_10_1 #1,5,,,,,,,,,,,,
TRP_Drag_Y_50_10_2,5,,,,,,,,,,,,
TRP_Drag_Y_100_10_2,5,,,,,,,,,,,,
TRP_Drag_Y_150_10_2,5,,,,,,,,,,,,
TRP_Drag_Y_200_10_2,5,,,,,,,,,,,,
TRP_Drag_Y_250_10_2,5,,,,,,,,,,,,
,,,,,,,,,,,,,
TRP_Drag_50_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:35:35.742 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:35:35.742 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:35:35.742 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:35:35.742 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:35:35.742 PM,
,,,,,,,,,,,,,
TRP_Drag_50_10_2 #1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:35:57.084 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:35:57.084 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:35:57.084 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:35:57.084 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:35:57.084 PM,
,,,,,,,,,,,,,
TRP_Drag_100_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:36:09.832 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:36:09.832 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:36:09.832 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:36:09.832 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:36:09.832 PM,
,,,,,,,,,,,,,
TRP_Drag_150_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:36:24.896 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:36:24.896 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:36:24.896 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:36:24.896 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:36:24.896 PM,
,,,,,,,,,,,,,
TRP_Drag_200_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:36:44.829 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:36:44.829 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:36:44.829 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:36:44.829 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:36:44.829 PM,
,,,,,,,,,,,,,
TRP_Drag_200_10_2 #1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:36:49.912 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:36:49.912 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:36:49.912 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:36:49.912 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:36:49.912 PM,
,,,,,,,,,,,,,
TRP_Drag_250_10_2,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:37:11.538 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:37:11.538 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:37:11.538 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:37:11.538 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:37:11.538 PM,
,,,,,,,,,,,,,
TRP_Drag_50_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:38:57.569 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:38:57.569 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:38:57.569 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:38:57.569 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:38:57.569 PM,
,,,,,,,,,,,,,
TRP_Drag_100_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:39:29.606 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:39:29.606 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:39:29.606 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:39:29.606 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:39:29.606 PM,
,,,,,,,,,,,,,
TRP_Drag_150_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:39:42.773 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:39:42.773 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:39:42.773 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:39:42.773 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:39:42.773 PM,
,,,,,,,,,,,,,
TRP_Drag_200_10_1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 06:40:00.149 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 06:40:00.149 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 06:40:00.149 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 06:40:00.149 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 06:40:00.149 PM,
,,,,,,,,,,,,,
TRP_Drag_250_10_1,,,,,,,,,,,,,
