Theta (deg),Voltage (mV),V_std (_V)
0,184.320,166
5,181.150,185
10,176.020,217
15,166.670,385
20,154.230,356
25,143.160,217
30,128.680,177
35,114.320,170
40,99.111,168
45,83.510,173
50,68.035,161
55,54.450,190
60,40.463,200
65,28.165,173
70,18.218,165
75,11.085,655
80,5.920,198
85,3.685,380
90,4.043,386
95,7.148,197
100,12.745,186
105,20.079,201
110,31.013,174
115,44.932,216
120,60.223,190
125,72.831,279
130,88.923,312
135,104.790,338
140,117.670,346
145,134.300,341
150,148.080,211
155,158.540,246
160,168.850,235
165,175.840,213
170,180.770,227
175,182.470,183
180,181.790,175
