Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage,Channel 3 Time,Channel 3 Voltage
-0.0992,0.077875,-0.0992,-1.7135,-0.0992,4.84375
-0.1984,0.046625,-0.1984,-1.8385,-0.1984,4.84375
-0.2976,0.015375,-0.2976,-2.151,-0.2976,4.6875
-0.3968,-0.015875,-0.3968,-2.2135,-0.3968,4.6875
-0.496,-0.0315,-0.496,-2.651,-0.496,4.6875
-0.5952,-0.06275,-0.5952,-2.776,-0.5952,4.84375
-0.6943999999999999,-0.078375,-0.6943999999999999,-1.8385,-0.6943999999999999,4.6875
-0.7936,-0.12525,-0.7936,-1.4635,-0.7936,4.84375
-0.8927999999999999,-0.109625,-0.8927999999999999,-1.4635,-0.8927999999999999,4.84375
-0.9919999999999999,-0.1565,-0.9919999999999999,-1.401,-0.9919999999999999,4.6875
-1.0912,-0.172125,-1.0912,-1.2135,-1.0912,4.84375
-1.1904,-0.18775,-1.1904,-1.0885,-1.1904,4.6875
-1.2895999999999999,-0.234625,-1.2895999999999999,-0.9635,-1.2895999999999999,4.84375
-1.3887999999999998,-0.234625,-1.3887999999999998,-0.776,-1.3887999999999998,4.6875
-1.488,-0.2815,-1.488,-0.7135,-1.488,4.53125
-1.5872,-0.265875,-1.5872,-0.526,-1.5872,4.6875
-1.6864,-0.297125,-1.6864,-0.401,-1.6864,4.6875
-1.7855999999999999,-0.297125,-1.7855999999999999,-0.3385,-1.7855999999999999,4.6875
-1.8847999999999998,-0.328375,-1.8847999999999998,-0.2135,-1.8847999999999998,4.6875
-1.984,-0.328375,-1.984,-0.026,-1.984,4.6875
-2.0832,-0.359625,-2.0832,0.2865,-2.0832,4.6875
-2.1824,-0.390875,-2.1824,0.4115,-2.1824,4.6875
-2.2816,-0.4065,-2.2816,0.599,-2.2816,4.6875
-2.3808000000000002,-0.422125,-2.3808000000000002,0.724,-2.3808000000000002,4.6875
-2.48,-0.4065,-2.48,0.7865,-2.48,4.84375
-2.5792,-0.43775,-2.5792,0.9115,-2.5792,4.84375
-2.6784,-0.43775,-2.6784,1.0365,-2.6784,4.84375
-2.7776,-0.453375,-2.7776,1.099,-2.7776,4.6875
-2.8768000000000002,-0.469,-2.8768000000000002,1.1615,-2.8768000000000002,4.6875
-2.976,-0.484625,-2.976,1.1615,-2.976,4.84375
-3.0752,-0.50025,-3.0752,1.224,-3.0752,4.6875
-3.1744,-0.484625,-3.1744,1.2865,-3.1744,4.6875
-3.2736,-0.469,-3.2736,1.2865,-3.2736,4.6875
-3.3728000000000002,-0.515875,-3.3728000000000002,1.224,-3.3728000000000002,4.84375
-3.472,-0.5315,-3.472,1.2865,-3.472,4.6875
-3.5712,-0.515875,-3.5712,1.099,-3.5712,4.6875
-3.6704,-0.50025,-3.6704,0.9115,-3.6704,4.84375
-3.7696,-0.515875,-3.7696,0.474,-3.7696,4.6875
-3.8688000000000002,-0.515875,-3.8688000000000002,0.474,-3.8688000000000002,4.84375
-3.968,-0.515875,-3.968,0.7865,-3.968,4.84375
-4.0672,-0.50025,-4.0672,0.849,-4.0672,4.6875
-4.166399999999999,-0.50025,-4.166399999999999,0.974,-4.166399999999999,4.53125
-4.265599999999999,-0.50025,-4.265599999999999,0.974,-4.265599999999999,4.6875
-4.3648,-0.515875,-4.3648,1.099,-4.3648,4.6875
-4.4639999999999995,-0.50025,-4.4639999999999995,1.099,-4.4639999999999995,4.6875
-4.563199999999999,-0.50025,-4.563199999999999,1.0365,-4.563199999999999,4.53125
-4.6624,-0.469,-4.6624,1.1615,-4.6624,4.6875
-4.7616,-0.484625,-4.7616,1.099,-4.7616,4.84375
-4.860799999999999,-0.484625,-4.860799999999999,1.0365,-4.860799999999999,4.6875
-4.96,-0.453375,-4.96,1.0365,-4.96,4.6875
-5.0592,-0.43775,-5.0592,0.974,-5.0592,4.6875
-5.158399999999999,-0.4065,-5.158399999999999,0.9115,-5.158399999999999,4.53125
-5.257599999999999,-0.422125,-5.257599999999999,0.7865,-5.257599999999999,4.6875
-5.3568,-0.4065,-5.3568,0.724,-5.3568,4.6875
-5.4559999999999995,-0.390875,-5.4559999999999995,0.5365,-5.4559999999999995,4.53125
-5.555199999999999,-0.37525,-5.555199999999999,0.599,-5.555199999999999,4.6875
-5.6544,-0.344,-5.6544,0.349,-5.6544,4.84375
-5.7536,-0.328375,-5.7536,0.224,-5.7536,4.84375
-5.852799999999999,-0.31275,-5.852799999999999,-0.0885,-5.852799999999999,4.6875
-5.952,-0.328375,-5.952,-0.0885,-5.952,4.53125
-6.0512,-0.2815,-6.0512,-0.276,-6.0512,4.6875
-6.150399999999999,-0.234625,-6.150399999999999,-0.4635,-6.150399999999999,4.6875
-6.249599999999999,-0.219,-6.249599999999999,-0.651,-6.249599999999999,4.53125
-6.3488,-0.219,-6.3488,-0.901,-6.3488,4.6875
-6.4479999999999995,-0.18775,-6.4479999999999995,-1.026,-6.4479999999999995,4.84375
-6.547199999999999,-0.172125,-6.547199999999999,-1.2135,-6.547199999999999,4.6875
-6.6464,-0.172125,-6.6464,-1.3385,-6.6464,4.6875
-6.7456,-0.109625,-6.7456,-1.651,-6.7456,4.84375
-6.844799999999999,-0.109625,-6.844799999999999,-1.9635,-6.844799999999999,4.6875
-6.943999999999999,-0.094,-6.943999999999999,-1.9635,-6.943999999999999,4.6875
-7.0432,-0.047125,-7.0432,-2.2135,-7.0432,4.6875
-7.142399999999999,-0.047125,-7.142399999999999,-2.151,-7.142399999999999,4.6875
-7.241599999999999,-0.015875,-7.241599999999999,-2.0885,-7.241599999999999,4.53125
-7.3408,0.015375,-7.3408,-2.0885,-7.3408,4.6875
-7.4399999999999995,0.046625,-7.4399999999999995,-2.2135,-7.4399999999999995,4.84375
-7.539199999999999,0.031,-7.539199999999999,-2.3385,-7.539199999999999,4.6875
-7.6384,0.0935,-7.6384,-2.3385,-7.6384,4.6875
-7.7376,0.0935,-7.7376,-2.276,-7.7376,4.53125
-7.836799999999999,0.109125,-7.836799999999999,-2.0885,-7.836799999999999,4.6875
-7.935999999999999,0.171625,-7.935999999999999,-1.9635,-7.935999999999999,4.53125
-8.0352,0.18725,-8.0352,-1.7135,-8.0352,4.6875
-8.1344,0.202875,-8.1344,-1.7135,-8.1344,4.84375
-8.2336,0.234125,-8.2336,-1.526,-8.2336,4.84375
-8.332799999999999,0.24975,-8.332799999999999,-1.4635,-8.332799999999999,4.84375
-8.431999999999999,0.265375,-8.431999999999999,-1.276,-8.431999999999999,4.6875
-8.5312,0.296625,-8.5312,-0.9635,-8.5312,4.6875
-8.6304,0.281,-8.6304,-0.9635,-8.6304,4.6875
-8.7296,0.31225,-8.7296,-0.651,-8.7296,4.53125
-8.8288,0.327875,-8.8288,-0.5885,-8.8288,4.6875
-8.927999999999999,0.359125,-8.927999999999999,-0.3385,-8.927999999999999,4.6875
-9.027199999999999,0.406,-9.027199999999999,-0.2135,-9.027199999999999,4.6875
-9.1264,0.421625,-9.1264,-0.151,-9.1264,4.84375
-9.2256,0.406,-9.2256,0.0365,-9.2256,4.53125
-9.3248,0.421625,-9.3248,0.099,-9.3248,4.53125
-9.424,0.43725,-9.424,0.1615,-9.424,4.6875
-9.5232,0.452875,-9.5232,0.349,-9.5232,4.6875
-9.622399999999999,0.4685,-9.622399999999999,0.474,-9.622399999999999,4.6875
-9.721599999999999,0.484125,-9.721599999999999,0.474,-9.721599999999999,4.6875
-9.8208,0.4685,-9.8208,0.5365,-9.8208,4.6875
-9.92,0.484125,-9.92,0.599,-9.92,4.6875
-10.0192,0.49975,-10.0192,0.5365,-10.0192,4.6875
-10.1184,0.49975,-10.1184,0.6615,-10.1184,4.6875
-10.2176,0.531,-10.2176,0.849,-10.2176,4.6875
-10.316799999999999,0.531,-10.316799999999999,0.974,-10.316799999999999,4.84375
-10.415999999999999,0.531,-10.415999999999999,0.974,-10.415999999999999,4.6875
-10.5152,0.515375,-10.5152,1.0365,-10.5152,4.6875
-10.6144,0.515375,-10.6144,1.1615,-10.6144,4.6875
-10.7136,0.546625,-10.7136,1.1615,-10.7136,4.53125
-10.8128,0.515375,-10.8128,1.224,-10.8128,4.6875
-10.911999999999999,0.531,-10.911999999999999,1.4115,-10.911999999999999,4.6875
-11.011199999999999,0.546625,-11.011199999999999,1.9115,-11.011199999999999,4.53125
-11.110399999999998,0.531,-11.110399999999998,2.1615,-11.110399999999998,4.6875
-11.2096,0.531,-11.2096,2.099,-11.2096,4.6875
-11.3088,0.515375,-11.3088,1.849,-11.3088,4.6875
-11.408,0.515375,-11.408,1.6615,-11.408,4.84375
-11.5072,0.515375,-11.5072,1.474,-11.5072,4.6875
-11.606399999999999,0.515375,-11.606399999999999,1.349,-11.606399999999999,4.84375
-11.705599999999999,0.4685,-11.705599999999999,1.1615,-11.705599999999999,4.53125
-11.8048,0.4685,-11.8048,0.9115,-11.8048,4.53125
-11.904,0.4685,-11.904,0.849,-11.904,4.53125
-12.0032,0.4685,-12.0032,0.7865,-12.0032,4.84375
-12.1024,0.4685,-12.1024,0.6615,-12.1024,4.53125
-12.2016,0.43725,-12.2016,0.599,-12.2016,4.53125
-12.300799999999999,0.421625,-12.300799999999999,0.474,-12.300799999999999,4.53125
-12.399999999999999,0.421625,-12.399999999999999,0.349,-12.399999999999999,4.53125
-12.4992,0.406,-12.4992,0.224,-12.4992,4.6875
-12.5984,0.37475,-12.5984,0.099,-12.5984,4.53125
-12.6976,0.3435,-12.6976,0.0365,-12.6976,4.6875
-12.7968,0.359125,-12.7968,-0.151,-12.7968,4.6875
-12.895999999999999,0.31225,-12.895999999999999,-0.151,-12.895999999999999,4.6875
-12.995199999999999,0.296625,-12.995199999999999,-0.276,-12.995199999999999,4.53125
-13.094399999999998,0.281,-13.094399999999998,-0.401,-13.094399999999998,4.53125
-13.1936,0.265375,-13.1936,-0.526,-13.1936,4.6875
-13.2928,0.24975,-13.2928,-0.4635,-13.2928,4.6875
-13.392,0.2185,-13.392,-0.526,-13.392,4.6875
-13.4912,0.202875,-13.4912,-0.651,-13.4912,4.53125
