Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage,Channel 3 Time,Channel 3 Voltage
-0.0992,0.265375,-0.0992,0.59375,-0.0992,2.5
-0.1984,0.265375,-0.1984,0.59375,-0.1984,2.5
-0.2976,0.234125,-0.2976,0.625,-0.2976,2.34375
-0.3968,0.2185,-0.3968,0.625,-0.3968,2.34375
-0.496,0.2185,-0.496,0.625,-0.496,2.34375
-0.5952,0.202875,-0.5952,0.65625,-0.5952,2.34375
-0.6943999999999999,0.156,-0.6943999999999999,0.625,-0.6943999999999999,2.34375
-0.7936,0.156,-0.7936,0.625,-0.7936,2.34375
-0.8927999999999999,0.156,-0.8927999999999999,0.625,-0.8927999999999999,2.1875
-0.9919999999999999,0.12475,-0.9919999999999999,0.59375,-0.9919999999999999,2.34375
-1.0912,0.0935,-1.0912,0.625,-1.0912,2.5
-1.1904,0.0935,-1.1904,0.59375,-1.1904,2.5
-1.2895999999999999,0.06225,-1.2895999999999999,0.5625,-1.2895999999999999,2.34375
-1.3887999999999998,0.031,-1.3887999999999998,0.5625,-1.3887999999999998,2.5
-1.488,0.015375,-1.488,0.5,-1.488,2.5
-1.5872,0.015375,-1.5872,0.46875,-1.5872,2.5
-1.6864,-0.015875,-1.6864,0.46875,-1.6864,2.34375
-1.7855999999999999,-0.0315,-1.7855999999999999,0.375,-1.7855999999999999,2.34375
-1.8847999999999998,-0.047125,-1.8847999999999998,0.34375,-1.8847999999999998,2.5
-1.984,-0.078375,-1.984,0.3125,-1.984,2.5
-2.0832,-0.078375,-2.0832,0.25,-2.0832,2.5
-2.1824,-0.109625,-2.1824,0.1875,-2.1824,2.5
-2.2816,-0.140875,-2.2816,0.125,-2.2816,2.5
-2.3808000000000002,-0.1565,-2.3808000000000002,0.0625,-2.3808000000000002,2.34375
-2.48,-0.172125,-2.48,0.03125,-2.48,2.5
-2.5792,-0.203375,-2.5792,-0.0625,-2.5792,2.34375
-2.6784,-0.18775,-2.6784,-0.0625,-2.6784,2.5
-2.7776,-0.219,-2.7776,-0.1875,-2.7776,2.5
-2.8768000000000002,-0.219,-2.8768000000000002,-0.1875,-2.8768000000000002,2.34375
-2.976,-0.25025,-2.976,-0.34375,-2.976,2.5
-3.0752,-0.265875,-3.0752,-0.34375,-3.0752,2.34375
-3.1744,-0.297125,-3.1744,-0.5,-3.1744,2.5
-3.2736,-0.31275,-3.2736,-0.53125,-3.2736,2.5
-3.3728000000000002,-0.31275,-3.3728000000000002,-0.625,-3.3728000000000002,2.34375
-3.472,-0.328375,-3.472,-0.65625,-3.472,2.34375
-3.5712,-0.328375,-3.5712,-0.8125,-3.5712,2.5
-3.6704,-0.344,-3.6704,-0.78125,-3.6704,2.34375
-3.7696,-0.344,-3.7696,-0.9375,-3.7696,2.34375
-3.8688000000000002,-0.359625,-3.8688000000000002,-0.96875,-3.8688000000000002,2.5
-3.968,-0.390875,-3.968,-1.09375,-3.968,2.5
-4.0672,-0.4065,-4.0672,-1.21875,-4.0672,2.5
-4.166399999999999,-0.4065,-4.166399999999999,-1.28125,-4.166399999999999,2.5
-4.265599999999999,-0.390875,-4.265599999999999,-1.3125,-4.265599999999999,2.34375
-4.3648,-0.4065,-4.3648,-1.03125,-4.3648,2.34375
-4.4639999999999995,-0.4065,-4.4639999999999995,-0.90625,-4.4639999999999995,2.5
-4.563199999999999,-0.4065,-4.563199999999999,-0.78125,-4.563199999999999,2.5
-4.6624,-0.453375,-4.6624,-0.75,-4.6624,2.5
-4.7616,-0.4065,-4.7616,-0.65625,-4.7616,2.5
-4.860799999999999,-0.43775,-4.860799999999999,-0.625,-4.860799999999999,2.5
-4.96,-0.422125,-4.96,-0.5,-4.96,2.5
-5.0592,-0.390875,-5.0592,-0.375,-5.0592,2.34375
-5.158399999999999,-0.43775,-5.158399999999999,-0.34375,-5.158399999999999,2.5
-5.257599999999999,-0.422125,-5.257599999999999,-0.3125,-5.257599999999999,2.5
-5.3568,-0.4065,-5.3568,-0.21875,-5.3568,2.5
-5.4559999999999995,-0.4065,-5.4559999999999995,-0.1875,-5.4559999999999995,2.5
-5.555199999999999,-0.4065,-5.555199999999999,-0.09375,-5.555199999999999,2.34375
-5.6544,-0.4065,-5.6544,-0.03125,-5.6544,2.5
-5.7536,-0.4065,-5.7536,0.0625,-5.7536,2.34375
-5.852799999999999,-0.390875,-5.852799999999999,0.15625,-5.852799999999999,2.5
-5.952,-0.390875,-5.952,0.1875,-5.952,2.34375
-6.0512,-0.37525,-6.0512,0.21875,-6.0512,2.34375
