Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage,Channel 3 Time,Channel 3 Voltage
-0.0992,0.281,-0.0992,0.25,-0.0992,-1.875
-0.1984,0.281,-0.1984,0.28125,-0.1984,-1.875
-0.2976,0.24975,-0.2976,0.3125,-0.2976,-2.03125
-0.3968,0.2185,-0.3968,0.40625,-0.3968,-1.71875
-0.496,0.2185,-0.496,0.40625,-0.496,-1.71875
-0.5952,0.2185,-0.5952,0.46875,-0.5952,-1.71875
-0.6943999999999999,0.202875,-0.6943999999999999,0.53125,-0.6943999999999999,-1.875
-0.7936,0.140375,-0.7936,0.59375,-0.7936,-1.875
-0.8927999999999999,0.156,-0.8927999999999999,0.625,-0.8927999999999999,-1.875
-0.9919999999999999,0.12475,-0.9919999999999999,0.71875,-0.9919999999999999,-1.875
-1.0912,0.109125,-1.0912,0.78125,-1.0912,-1.875
-1.1904,0.0935,-1.1904,0.84375,-1.1904,-1.875
-1.2895999999999999,0.06225,-1.2895999999999999,0.8125,-1.2895999999999999,-1.875
-1.3887999999999998,0.046625,-1.3887999999999998,0.75,-1.3887999999999998,-2.03125
-1.488,0.031,-1.488,0.6875,-1.488,-1.875
-1.5872,0.015375,-1.5872,0.6875,-1.5872,-1.875
-1.6864,-0.000249982,-1.6864,0.5625,-1.6864,-1.875
-1.7855999999999999,-0.0315,-1.7855999999999999,0.46875,-1.7855999999999999,-1.875
-1.8847999999999998,-0.0315,-1.8847999999999998,0.4375,-1.8847999999999998,-1.875
-1.984,-0.078375,-1.984,0.40625,-1.984,-1.875
-2.0832,-0.078375,-2.0832,0.40625,-2.0832,-1.875
-2.1824,-0.109625,-2.1824,0.3125,-2.1824,-1.875
-2.2816,-0.12525,-2.2816,0.21875,-2.2816,-1.875
-2.3808000000000002,-0.140875,-2.3808000000000002,0.125,-2.3808000000000002,-1.875
-2.48,-0.172125,-2.48,0.125,-2.48,-1.71875
-2.5792,-0.18775,-2.5792,0.0625,-2.5792,-1.5625
-2.6784,-0.18775,-2.6784,-0.03125,-2.6784,-1.875
-2.7776,-0.219,-2.7776,-0.09375,-2.7776,-1.875
-2.8768000000000002,-0.234625,-2.8768000000000002,-0.09375,-2.8768000000000002,-1.875
-2.976,-0.234625,-2.976,-0.15625,-2.976,-1.875
-3.0752,-0.265875,-3.0752,-0.1875,-3.0752,-1.71875
-3.1744,-0.2815,-3.1744,-0.21875,-3.1744,-1.71875
-3.2736,-0.31275,-3.2736,-0.25,-3.2736,-1.875
-3.3728000000000002,-0.31275,-3.3728000000000002,-0.28125,-3.3728000000000002,-1.875
-3.472,-0.297125,-3.472,-0.34375,-3.472,-1.875
-3.5712,-0.328375,-3.5712,-0.375,-3.5712,-1.71875
-3.6704,-0.344,-3.6704,-0.40625,-3.6704,-1.71875
-3.7696,-0.359625,-3.7696,-0.46875,-3.7696,-1.71875
-3.8688000000000002,-0.359625,-3.8688000000000002,-0.46875,-3.8688000000000002,-1.71875
-3.968,-0.37525,-3.968,-0.53125,-3.968,-1.71875
-4.0672,-0.37525,-4.0672,-0.5,-4.0672,-1.71875
-4.166399999999999,-0.37525,-4.166399999999999,-0.5625,-4.166399999999999,-1.875
-4.265599999999999,-0.4065,-4.265599999999999,-0.5625,-4.265599999999999,-1.875
-4.3648,-0.37525,-4.3648,-0.59375,-4.3648,-1.71875
-4.4639999999999995,-0.390875,-4.4639999999999995,-0.5625,-4.4639999999999995,-1.71875
-4.563199999999999,-0.4065,-4.563199999999999,-0.59375,-4.563199999999999,-1.71875
-4.6624,-0.422125,-4.6624,-0.59375,-4.6624,-2.03125
-4.7616,-0.422125,-4.7616,-0.59375,-4.7616,-1.875
-4.860799999999999,-0.422125,-4.860799999999999,-0.625,-4.860799999999999,-1.875
-4.96,-0.422125,-4.96,-0.5625,-4.96,-1.71875
-5.0592,-0.4065,-5.0592,-0.53125,-5.0592,-1.875
-5.158399999999999,-0.43775,-5.158399999999999,-0.53125,-5.158399999999999,-1.875
-5.257599999999999,-0.422125,-5.257599999999999,-0.53125,-5.257599999999999,-1.875
-5.3568,-0.422125,-5.3568,-0.53125,-5.3568,-1.71875
-5.4559999999999995,-0.4065,-5.4559999999999995,-0.5,-5.4559999999999995,-1.71875
-5.555199999999999,-0.422125,-5.555199999999999,-0.46875,-5.555199999999999,-1.71875
-5.6544,-0.390875,-5.6544,-0.4375,-5.6544,-1.875
-5.7536,-0.4065,-5.7536,-0.40625,-5.7536,-1.875
-5.852799999999999,-0.37525,-5.852799999999999,-0.34375,-5.852799999999999,-1.71875
-5.952,-0.4065,-5.952,-0.3125,-5.952,-1.875
-6.0512,-0.359625,-6.0512,-0.28125,-6.0512,-1.875
-6.150399999999999,-0.359625,-6.150399999999999,-0.21875,-6.150399999999999,-1.875
-6.249599999999999,-0.359625,-6.249599999999999,-0.1875,-6.249599999999999,-1.875
-6.3488,-0.344,-6.3488,-0.125,-6.3488,-1.875
-6.4479999999999995,-0.328375,-6.4479999999999995,-0.09375,-6.4479999999999995,-1.875
