Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage,Channel 3 Time,Channel 3 Voltage
-0.0992,-0.2375,-0.0992,-2.375,-0.0992,0.15625
-0.1984,-0.2375,-0.1984,-2.4375,-0.1984,0.3125
-0.2976,-0.2375,-0.2976,-2.5,-0.2976,0.3125
-0.3968,-0.2375,-0.3968,-2.625,-0.3968,0.3125
-0.496,-0.2375,-0.496,-2.75,-0.496,0.3125
-0.5952,-0.2375,-0.5952,-2.75,-0.5952,0.3125
-0.6943999999999999,-0.2375,-0.6943999999999999,-2.875,-0.6943999999999999,0.3125
-0.7936,-0.20625,-0.7936,-2.875,-0.7936,0.15625
-0.8927999999999999,-0.20625,-0.8927999999999999,-3.0,-0.8927999999999999,0.46875
-0.9919999999999999,-0.2375,-0.9919999999999999,-3.0625,-0.9919999999999999,0.3125
-1.0912,-0.2375,-1.0912,-3.125,-1.0912,0.15625
-1.1904,-0.2375,-1.1904,-3.0625,-1.1904,0.3125
-1.2895999999999999,-0.175,-1.2895999999999999,-3.1875,-1.2895999999999999,0.3125
-1.3887999999999998,-0.20625,-1.3887999999999998,-3.3125,-1.3887999999999998,0.15625
-1.488,-0.14375,-1.488,-3.25,-1.488,0.3125
-1.5872,-0.175,-1.5872,-3.3125,-1.5872,0.3125
-1.6864,-0.175,-1.6864,-3.4375,-1.6864,0.15625
-1.7855999999999999,-0.175,-1.7855999999999999,-3.4375,-1.7855999999999999,0.15625
-1.8847999999999998,-0.175,-1.8847999999999998,-3.4375,-1.8847999999999998,0.3125
-1.984,-0.175,-1.984,-3.625,-1.984,0.15625
-2.0832,-0.14375,-2.0832,-3.6875,-2.0832,0.3125
-2.1824,-0.1125,-2.1824,-3.625,-2.1824,0.15625
-2.2816,-0.1125,-2.2816,-3.6875,-2.2816,0.3125
-2.3808000000000002,-0.1125,-2.3808000000000002,-3.8125,-2.3808000000000002,0.15625
-2.48,-0.1125,-2.48,-3.8125,-2.48,0.3125
-2.5792,-0.1125,-2.5792,-3.8125,-2.5792,0.3125
-2.6784,-0.14375,-2.6784,-3.875,-2.6784,0.0
-2.7776,-0.1125,-2.7776,-3.75,-2.7776,0.15625
-2.8768000000000002,-0.1125,-2.8768000000000002,-3.6875,-2.8768000000000002,0.3125
-2.976,-0.14375,-2.976,-3.5,-2.976,0.15625
-3.0752,-0.1125,-3.0752,-3.5,-3.0752,0.15625
-3.1744,-0.08125,-3.1744,-3.4375,-3.1744,0.3125
-3.2736,-0.05,-3.2736,-3.1875,-3.2736,0.15625
-3.3728000000000002,-0.08125,-3.3728000000000002,-3.0625,-3.3728000000000002,0.3125
-3.472,-0.05,-3.472,-3.0,-3.472,0.15625
-3.5712,-0.1125,-3.5712,-2.9375,-3.5712,0.15625
-3.6704,-0.05,-3.6704,-2.875,-3.6704,0.3125
-3.7696,-0.08125,-3.7696,-2.6875,-3.7696,0.0
-3.8688000000000002,-0.05,-3.8688000000000002,-2.5625,-3.8688000000000002,0.3125
-3.968,-0.01875,-3.968,-2.5625,-3.968,0.3125
-4.0672,-0.01875,-4.0672,-2.4375,-4.0672,0.3125
-4.166399999999999,-0.05,-4.166399999999999,-2.4375,-4.166399999999999,0.15625
-4.265599999999999,-0.05,-4.265599999999999,-2.25,-4.265599999999999,0.3125
-4.3648,-0.05,-4.3648,-2.0625,-4.3648,0.15625
-4.4639999999999995,-0.01875,-4.4639999999999995,-1.875,-4.4639999999999995,0.15625
-4.563199999999999,0.0125,-4.563199999999999,-1.875,-4.563199999999999,0.15625
-4.6624,-0.01875,-4.6624,-1.8125,-4.6624,0.15625
-4.7616,-0.01875,-4.7616,-1.75,-4.7616,0.15625
-4.860799999999999,0.0125,-4.860799999999999,-1.5625,-4.860799999999999,0.15625
-4.96,-0.01875,-4.96,-1.5,-4.96,0.15625
-5.0592,0.04375,-5.0592,-1.5,-5.0592,0.15625
-5.158399999999999,0.0125,-5.158399999999999,-1.375,-5.158399999999999,0.0
-5.257599999999999,0.04375,-5.257599999999999,-1.3125,-5.257599999999999,0.3125
-5.3568,0.04375,-5.3568,-1.25,-5.3568,0.3125
-5.4559999999999995,0.075,-5.4559999999999995,-1.0625,-5.4559999999999995,0.3125
-5.555199999999999,0.0125,-5.555199999999999,-0.9375,-5.555199999999999,0.15625
-5.6544,0.0125,-5.6544,-1.0625,-5.6544,0.15625
