Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage,Channel 3 Time,Channel 3 Voltage,Channel 4 Time,Channel 4 Voltage
-0.09939999999999999,0.08125,-0.09939999999999999,0.00375,-0.09939999999999999,0.29325,-0.09939999999999999,0.00625
-0.19879999999999998,0.14375,-0.19879999999999998,0.0,-0.19879999999999998,0.3245,-0.19879999999999998,0.0
-0.29819999999999997,0.175,-0.29819999999999997,0.001875,-0.29819999999999997,0.29325,-0.29819999999999997,0.0
-0.39759999999999995,0.20625,-0.39759999999999995,0.00125,-0.39759999999999995,0.29325,-0.39759999999999995,-0.00625
-0.49699999999999994,0.2375,-0.49699999999999994,0.00125,-0.49699999999999994,0.29325,-0.49699999999999994,-0.0125
-0.5963999999999999,0.26875,-0.5963999999999999,0.000625,-0.5963999999999999,0.3245,-0.5963999999999999,-0.01875
-0.6958,0.33125,-0.6958,0.001875,-0.6958,0.29325,-0.6958,-0.0125
-0.7951999999999999,0.3625,-0.7951999999999999,0.0021875,-0.7951999999999999,0.3245,-0.7951999999999999,-0.01875
-0.8945999999999998,0.45625,-0.8945999999999998,0.0003125,-0.8945999999999998,0.29325,-0.8945999999999998,-0.01875
-0.9939999999999998,0.51875,-0.9939999999999998,0.000625,-0.9939999999999998,0.3245,-0.9939999999999998,-0.01875
-1.0934,0.58125,-1.0934,-0.00125,-1.0934,0.29325,-1.0934,-0.01875
-1.1927999999999999,0.58125,-1.1927999999999999,0.001875,-1.1927999999999999,0.29325,-1.1927999999999999,-0.03125
-1.2921999999999998,0.58125,-1.2921999999999998,0.000625,-1.2921999999999998,0.262,-1.2921999999999998,-0.03125
-1.3915999999999997,0.64375,-1.3915999999999997,0.0015625,-1.3915999999999997,0.262,-1.3915999999999997,-0.0375
-1.4909999999999999,0.675,-1.4909999999999999,-0.0015625,-1.4909999999999999,0.29325,-1.4909999999999999,-0.025
-1.5903999999999998,0.7375,-1.5903999999999998,0.00125,-1.5903999999999998,0.262,-1.5903999999999998,-0.03125
-1.6897999999999997,0.76875,-1.6897999999999997,0.0028125,-1.6897999999999997,0.262,-1.6897999999999997,-0.04375
-1.7891999999999997,0.8,-1.7891999999999997,0.00125,-1.7891999999999997,0.29325,-1.7891999999999997,-0.0375
-1.8885999999999996,0.76875,-1.8885999999999996,-0.000625,-1.8885999999999996,0.262,-1.8885999999999996,-0.03125
-1.9879999999999998,0.8625,-1.9879999999999998,-0.0003125,-1.9879999999999998,0.262,-1.9879999999999998,-0.0375
-2.0873999999999997,0.83125,-2.0873999999999997,0.0021875,-2.0873999999999997,0.29325,-2.0873999999999997,-0.05
-2.1868,0.89375,-2.1868,-0.00125,-2.1868,0.262,-2.1868,-0.0375
-2.2862,0.89375,-2.2862,0.00125,-2.2862,0.29325,-2.2862,-0.04375
-2.3855999999999997,0.8625,-2.3855999999999997,-0.00125,-2.3855999999999997,0.29325,-2.3855999999999997,-0.0375
-2.485,0.95625,-2.485,-0.0003125,-2.485,0.262,-2.485,-0.04375
-2.5844,0.95625,-2.5844,-0.0009375,-2.5844,0.262,-2.5844,-0.04375
-2.6837999999999997,0.925,-2.6837999999999997,0.0021875,-2.6837999999999997,0.1995,-2.6837999999999997,-0.05625
-2.7832,0.9875,-2.7832,0.0,-2.7832,0.262,-2.7832,-0.04375
-2.8826,0.95625,-2.8826,0.00125,-2.8826,0.23075,-2.8826,-0.05625
-2.9819999999999998,0.95625,-2.9819999999999998,0.0003125,-2.9819999999999998,0.262,-2.9819999999999998,-0.04375
-3.0814,0.89375,-3.0814,0.0025,-3.0814,0.262,-3.0814,-0.05625
-3.1807999999999996,0.95625,-3.1807999999999996,0.000625,-3.1807999999999996,0.262,-3.1807999999999996,-0.04375
-3.2802,0.89375,-3.2802,-0.00125,-3.2802,0.262,-3.2802,-0.04375
-3.3796,0.925,-3.3796,0.0015625,-3.3796,0.262,-3.3796,-0.05
-3.4789999999999996,0.925,-3.4789999999999996,-0.000625,-3.4789999999999996,0.262,-3.4789999999999996,-0.05
-3.5784,0.925,-3.5784,0.0,-3.5784,0.262,-3.5784,-0.0375
-3.6777999999999995,0.83125,-3.6777999999999995,0.000625,-3.6777999999999995,0.1995,-3.6777999999999995,-0.0375
-3.7771999999999997,0.8625,-3.7771999999999997,-0.0003125,-3.7771999999999997,0.262,-3.7771999999999997,-0.03125
-3.8766,0.83125,-3.8766,-0.000625,-3.8766,0.262,-3.8766,-0.03125
-3.9759999999999995,0.8,-3.9759999999999995,0.00125,-3.9759999999999995,0.262,-3.9759999999999995,-0.04375
-4.075399999999999,0.8,-4.075399999999999,0.001875,-4.075399999999999,0.262,-4.075399999999999,-0.0375
-4.174799999999999,0.70625,-4.174799999999999,0.0025,-4.174799999999999,0.262,-4.174799999999999,-0.0375
-4.2741999999999996,0.7375,-4.2741999999999996,0.001875,-4.2741999999999996,0.262,-4.2741999999999996,-0.03125
-4.3736,0.675,-4.3736,-0.000625,-4.3736,0.1995,-4.3736,-0.03125
-4.473,0.64375,-4.473,-0.000625,-4.473,0.23075,-4.473,-0.025
-4.5724,0.6125,-4.5724,-0.0003125,-4.5724,0.23075,-4.5724,-0.03125
-4.671799999999999,0.55,-4.671799999999999,0.001875,-4.671799999999999,0.262,-4.671799999999999,-0.03125
-4.771199999999999,0.58125,-4.771199999999999,0.000625,-4.771199999999999,0.262,-4.771199999999999,-0.025
-4.8706,0.4875,-4.8706,-0.00125,-4.8706,0.262,-4.8706,-0.025
-4.97,0.45625,-4.97,0.0,-4.97,0.262,-4.97,-0.025
-5.0694,0.45625,-5.0694,0.0028125,-5.0694,0.23075,-5.0694,-0.03125
-5.168799999999999,0.39375,-5.168799999999999,0.0028125,-5.168799999999999,0.23075,-5.168799999999999,-0.01875
-5.268199999999999,0.33125,-5.268199999999999,-0.000625,-5.268199999999999,0.262,-5.268199999999999,-0.0125
-5.3675999999999995,0.26875,-5.3675999999999995,0.000625,-5.3675999999999995,0.29325,-5.3675999999999995,-0.0125
-5.467,0.26875,-5.467,0.0021875,-5.467,0.262,-5.467,-0.0125
-5.5664,0.175,-5.5664,0.001875,-5.5664,0.262,-5.5664,-0.00625
-5.6658,0.175,-5.6658,0.001875,-5.6658,0.29325,-5.6658,-0.00625
-5.765199999999999,0.08125,-5.765199999999999,0.0003125,-5.765199999999999,0.262,-5.765199999999999,-0.00625
-5.864599999999999,0.08125,-5.864599999999999,0.0028125,-5.864599999999999,0.262,-5.864599999999999,0.0
-5.9639999999999995,-0.0125,-5.9639999999999995,0.00125,-5.9639999999999995,0.262,-5.9639999999999995,-0.00625
-6.0634,-0.04375,-6.0634,0.0025,-6.0634,0.29325,-6.0634,0.0
-6.1628,-0.10625,-6.1628,-0.000625,-6.1628,0.29325,-6.1628,0.00625
-6.262199999999999,-0.16875,-6.262199999999999,0.0021875,-6.262199999999999,0.3245,-6.262199999999999,0.01875
-6.361599999999999,-0.2,-6.361599999999999,0.0009375,-6.361599999999999,0.29325,-6.361599999999999,0.00625
-6.460999999999999,-0.23125,-6.460999999999999,0.003125,-6.460999999999999,0.29325,-6.460999999999999,0.0125
-6.5604,-0.2625,-6.5604,0.003125,-6.5604,0.3245,-6.5604,0.00625
-6.6598,-0.29375,-6.6598,0.0025,-6.6598,0.29325,-6.6598,0.01875
-6.759199999999999,-0.325,-6.759199999999999,0.003125,-6.759199999999999,0.3245,-6.759199999999999,0.025
