Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage,Channel 3 Time,Channel 3 Voltage
-0.0992,0.015375,-0.0992,-0.3775,-0.0992,-0.84
-0.1984,-0.000249982,-0.1984,-0.3775,-0.1984,-0.88
-0.2976,0.015375,-0.2976,-0.22125,-0.2976,-0.84
-0.3968,-0.000249982,-0.3968,-0.22125,-0.3968,-0.8
-0.496,-0.015875,-0.496,-0.22125,-0.496,-0.84
-0.5952,-0.0315,-0.5952,-0.22125,-0.5952,-0.84
-0.6943999999999999,-0.015875,-0.6943999999999999,-0.065,-0.6943999999999999,-0.88
-0.7936,-0.0315,-0.7936,-0.22125,-0.7936,-0.88
-0.8927999999999999,-0.06275,-0.8927999999999999,-0.065,-0.8927999999999999,-0.88
-0.9919999999999999,-0.0315,-0.9919999999999999,-0.065,-0.9919999999999999,-0.84
-1.0912,-0.047125,-1.0912,-0.065,-1.0912,-0.84
-1.1904,-0.06275,-1.1904,-0.22125,-1.1904,-0.84
-1.2895999999999999,-0.078375,-1.2895999999999999,-0.065,-1.2895999999999999,-0.88
-1.3887999999999998,-0.078375,-1.3887999999999998,-0.065,-1.3887999999999998,-0.84
-1.488,-0.094,-1.488,0.09125,-1.488,-0.88
-1.5872,-0.109625,-1.5872,-0.065,-1.5872,-0.92
-1.6864,-0.094,-1.6864,0.09125,-1.6864,-0.88
-1.7855999999999999,-0.094,-1.7855999999999999,0.09125,-1.7855999999999999,-0.88
-1.8847999999999998,-0.109625,-1.8847999999999998,0.09125,-1.8847999999999998,-0.84
-1.984,-0.12525,-1.984,0.09125,-1.984,-0.88
-2.0832,-0.12525,-2.0832,0.2475,-2.0832,-0.84
-2.1824,-0.140875,-2.1824,0.2475,-2.1824,-0.84
-2.2816,-0.1565,-2.2816,0.09125,-2.2816,-0.84
-2.3808000000000002,-0.140875,-2.3808000000000002,0.09125,-2.3808000000000002,-0.84
-2.48,-0.12525,-2.48,0.2475,-2.48,-0.84
-2.5792,-0.1565,-2.5792,0.40375,-2.5792,-0.88
-2.6784,-0.1565,-2.6784,0.2475,-2.6784,-0.84
-2.7776,-0.1565,-2.7776,0.40375,-2.7776,-0.92
-2.8768000000000002,-0.140875,-2.8768000000000002,0.2475,-2.8768000000000002,-0.88
-2.976,-0.172125,-2.976,0.56,-2.976,-0.84
-3.0752,-0.172125,-3.0752,0.40375,-3.0752,-0.88
-3.1744,-0.172125,-3.1744,0.56,-3.1744,-0.88
-3.2736,-0.18775,-3.2736,0.2475,-3.2736,-0.88
-3.3728000000000002,-0.18775,-3.3728000000000002,0.09125,-3.3728000000000002,-0.84
-3.472,-0.172125,-3.472,0.2475,-3.472,-0.88
-3.5712,-0.172125,-3.5712,-0.065,-3.5712,-0.88
-3.6704,-0.172125,-3.6704,0.09125,-3.6704,-0.92
-3.7696,-0.18775,-3.7696,-0.22125,-3.7696,-0.88
-3.8688000000000002,-0.172125,-3.8688000000000002,-0.22125,-3.8688000000000002,-0.88
-3.968,-0.172125,-3.968,-0.065,-3.968,-0.88
-4.0672,-0.18775,-4.0672,-0.22125,-4.0672,-0.88
-4.166399999999999,-0.172125,-4.166399999999999,-0.22125,-4.166399999999999,-0.84
-4.265599999999999,-0.172125,-4.265599999999999,-0.22125,-4.265599999999999,-0.88
-4.3648,-0.172125,-4.3648,-0.3775,-4.3648,-0.84
-4.4639999999999995,-0.172125,-4.4639999999999995,-0.3775,-4.4639999999999995,-0.88
-4.563199999999999,-0.172125,-4.563199999999999,-0.3775,-4.563199999999999,-0.88
-4.6624,-0.172125,-4.6624,-0.3775,-4.6624,-0.88
-4.7616,-0.1565,-4.7616,-0.3775,-4.7616,-0.88
-4.860799999999999,-0.1565,-4.860799999999999,-0.53375,-4.860799999999999,-0.84
-4.96,-0.1565,-4.96,-0.3775,-4.96,-0.84
-5.0592,-0.1565,-5.0592,-0.53375,-5.0592,-0.88
-5.158399999999999,-0.140875,-5.158399999999999,-0.69,-5.158399999999999,-0.84
-5.257599999999999,-0.12525,-5.257599999999999,-0.53375,-5.257599999999999,-0.88
-5.3568,-0.12525,-5.3568,-0.53375,-5.3568,-0.88
-5.4559999999999995,-0.109625,-5.4559999999999995,-0.53375,-5.4559999999999995,-0.88
-5.555199999999999,-0.12525,-5.555199999999999,-0.53375,-5.555199999999999,-0.88
-5.6544,-0.109625,-5.6544,-0.69,-5.6544,-0.84
-5.7536,-0.109625,-5.7536,-0.53375,-5.7536,-0.88
-5.852799999999999,-0.109625,-5.852799999999999,-0.69,-5.852799999999999,-0.88
