Time,Voltage,,,
0,-256,,Record Length,2.50E+03
0.002,-256,,Sample Interval,2.00E-03
0.004,-256,,Trigger Point,0.00E+00
0.006,-256,,,
0.008,-256,,,
0.01,-256,,,
0.012,-256,,Source,CH1
0.014,-256,,Vertical Units,V
0.016,-256,,Vertical Scale,5.00E+01
0.018,-256,,Vertical Offset,0.00E+00
0.02,-256,,Horizontal Units,s
0.022,-256,,Horizontal Scale,5.00E-01
0.024,-256,,Pt Fmt,Y
0.026,-256,,Yzero,0.00E+00
0.028,-256,,Probe Atten,1.00E+01
0.03,-256,,Model Number,TBS1102
0.032,-256,,Serial Number,C012454
0.034,-256,,Firmware Version,FV:v26.01
0.036,-256,,,
0.038,-256,,,
0.04,-256,,,
0.042,-256,,,
0.044,-256,,,
0.046,-256,,,
0.048,-256,,,
0.05,-256,,,
0.052,-256,,,
0.054,-256,,,
0.056,-256,,,
0.058,-256,,,
0.06,-256,,,
0.062,-256,,,
0.064,-256,,,
0.066,-256,,,
0.068,-256,,,
0.07,-256,,,
0.072,-256,,,
0.074,-256,,,
0.076,-256,,,
0.078,-256,,,
0.08,-256,,,
0.082,-256,,,
0.084,-256,,,
0.086,-256,,,
0.088,-256,,,
0.09,-256,,,
0.092,-256,,,
0.094,-256,,,
0.096,-256,,,
0.098,-256,,,
0.1,-256,,,
0.102,-256,,,
0.104,-256,,,
0.106,-256,,,
0.108,-256,,,
0.11,-256,,,
0.112,-256,,,
0.114,-256,,,
0.116,-256,,,
0.118,-256,,,
0.12,-256,,,
0.122,-256,,,
0.124,-256,,,
0.126,-256,,,
0.128,-256,,,
0.13,-256,,,
0.132,-256,,,
0.134,-256,,,
0.136,-256,,,
0.138,-256,,,
0.14,-256,,,
0.142,-256,,,
0.144,-256,,,
0.146,-256,,,
0.148,-256,,,
0.15,-256,,,
0.152,-256,,,
0.154,-256,,,
0.156,-256,,,
0.158,-256,,,
0.16,-256,,,
0.162,-256,,,
0.164,-256,,,
0.166,-256,,,
0.168,-256,,,
0.17,-256,,,
0.172,-256,,,
0.174,-256,,,
0.176,-256,,,
0.178,-256,,,
0.18,-256,,,
0.182,-256,,,
0.184,-256,,,
0.186,-256,,,
0.188,-256,,,
0.19,-256,,,
0.192,-256,,,
0.194,-256,,,
0.196,-256,,,
0.198,-256,,,
0.2,-256,,,
0.202,-256,,,
0.204,-256,,,
0.206,-256,,,
0.208,-256,,,
0.21,-256,,,
0.212,-256,,,
0.214,-256,,,
0.216,-256,,,
0.218,-256,,,
0.22,-256,,,
0.222,-256,,,
0.224,-256,,,
0.226,-256,,,
0.228,-256,,,
0.23,-256,,,
0.232,-256,,,
0.234,-256,,,
0.236,-256,,,
0.238,-256,,,
0.24,-256,,,
0.242,-256,,,
0.244,-256,,,
0.246,-256,,,
0.248,-256,,,
0.25,-256,,,
0.252,-256,,,
0.254,-256,,,
0.256,-256,,,
0.258,-256,,,
0.26,-256,,,
0.262,-256,,,
0.264,-256,,,
0.266,-256,,,
0.268,-256,,,
0.27,-256,,,
0.272,-256,,,
0.274,-256,,,
0.276,-256,,,
0.278,-16,,,
0.28,-14,,,
0.282,-14,,,
0.284,-14,,,
0.286,-8,,,
0.288,-8,,,
0.29,-10,,,
0.292,-4,,,
0.294,-6,,,
0.296,-6,,,
0.298,-4,,,
0.3,-4,,,
0.302,-8,,,
0.304,-6,,,
0.306,-6,,,
0.308,-10,,,
0.31,-8,,,
0.312,-4,,,
0.314,-8,,,
0.316,-2,,,
0.318,0,,,
0.32,0,,,
0.322,2,,,
0.324,6,,,
0.326,6,,,
0.328,6,,,
0.33,12,,,
0.332,8,,,
0.334,8,,,
0.336,12,,,
0.338,10,,,
0.34,8,,,
0.342,10,,,
0.344,10,,,
0.346,4,,,
0.348,8,,,
0.35,8,,,
0.352,4,,,
0.354,6,,,
0.356,10,,,
0.358,8,,,
0.36,12,,,
0.362,16,,,
0.364,16,,,
0.366,18,,,
0.368,22,,,
0.37,22,,,
0.372,22,,,
0.374,24,,,
0.376,26,,,
0.378,22,,,
0.38,26,,,
0.382,26,,,
0.384,24,,,
0.386,24,,,
0.388,26,,,
0.39,24,,,
0.392,28,,,
0.394,28,,,
0.396,24,,,
0.398,28,,,
0.4,28,,,
0.402,26,,,
0.404,28,,,
0.406,32,,,
0.408,28,,,
0.41,30,,,
0.412,32,,,
0.414,32,,,
0.416,32,,,
0.418,36,,,
0.42,36,,,
0.422,36,,,
0.424,36,,,
0.426,36,,,
0.428,36,,,
0.43,36,,,
0.432,36,,,
0.434,36,,,
0.436,36,,,
0.438,36,,,
0.44,34,,,
0.442,36,,,
0.444,36,,,
0.446,36,,,
0.448,36,,,
0.45,36,,,
0.452,36,,,
0.454,36,,,
0.456,38,,,
0.458,36,,,
0.46,36,,,
0.462,36,,,
0.464,36,,,
0.466,34,,,
0.468,34,,,
0.47,34,,,
0.472,34,,,
0.474,34,,,
0.476,34,,,
0.478,36,,,
0.48,36,,,
0.482,36,,,
0.484,36,,,
0.486,36,,,
0.488,36,,,
0.49,36,,,
0.492,36,,,
0.494,34,,,
0.496,32,,,
0.498,30,,,
0.5,28,,,
0.502,26,,,
0.504,24,,,
0.506,22,,,
0.508,22,,,
0.51,22,,,
0.512,20,,,
0.514,22,,,
0.516,26,,,
0.518,24,,,
0.52,24,,,
0.522,30,,,
0.524,28,,,
0.526,26,,,
0.528,30,,,
0.53,28,,,
0.532,26,,,
0.534,26,,,
0.536,24,,,
0.538,20,,,
0.54,18,,,
0.542,18,,,
0.544,14,,,
0.546,10,,,
0.548,14,,,
0.55,10,,,
0.552,8,,,
0.554,12,,,
0.556,10,,,
0.558,12,,,
0.56,12,,,
0.562,10,,,
0.564,10,,,
0.566,12,,,
0.568,10,,,
0.57,8,,,
0.572,8,,,
0.574,8,,,
0.576,4,,,
0.578,4,,,
0.58,2,,,
0.582,0,,,
0.584,-2,,,
0.586,-2,,,
0.588,-6,,,
0.59,-8,,,
0.592,-6,,,
0.594,-6,,,
0.596,-8,,,
0.598,-8,,,
0.6,-8,,,
0.602,-8,,,
0.604,-8,,,
0.606,-8,,,
0.608,-8,,,
0.61,-8,,,
0.612,-10,,,
0.614,-10,,,
0.616,-8,,,
0.618,-10,,,
0.62,-12,,,
0.622,-10,,,
0.624,-12,,,
0.626,-14,,,
0.628,-14,,,
0.63,-14,,,
0.632,-16,,,
0.634,-16,,,
0.636,-14,,,
0.638,-16,,,
0.64,-18,,,
0.642,-16,,,
0.644,-16,,,
0.646,-18,,,
0.648,-16,,,
0.65,-18,,,
0.652,-18,,,
0.654,-18,,,
0.656,-18,,,
0.658,-18,,,
0.66,-18,,,
0.662,-18,,,
0.664,-20,,,
0.666,-20,,,
0.668,-18,,,
0.67,-18,,,
0.672,-18,,,
0.674,-18,,,
0.676,-18,,,
0.678,-20,,,
0.68,-18,,,
0.682,-20,,,
0.684,-18,,,
0.686,-18,,,
0.688,-16,,,
0.69,-16,,,
0.692,-14,,,
0.694,-12,,,
0.696,-14,,,
0.698,-14,,,
